group,value
control,5107.00
control,0.00
control,0.00
control,772.00
control,0.00
control,0.00
control,5580.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2786.00
control,38254.00
control,3.00
control,0.00
control,6041.00
control,1380.00
control,13629.00
control,25062.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,8142.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,38326.00
control,4282.00
control,0.00
control,15609.00
control,793.00
control,8501.00
control,121896.00
control,62.00
control,5949.00
control,0.00
control,2503.00
control,0.00
control,35483.00
control,6785.00
control,0.00
control,182.00
control,32469.00
control,21617.00
control,0.00
control,1586.00
control,0.00
control,0.00
control,1357.00
control,8291.00
control,0.00
control,41.00
control,2942.00
control,0.00
control,5988.00
control,8775.00
control,0.00
control,0.00
control,0.00
control,326.00
control,72693.00
control,0.00
control,6.00
control,0.00
control,685.00
control,17.00
control,0.00
control,0.00
control,0.00
control,670.00
control,3418.00
control,0.00
control,147.00
control,0.00
control,32991.00
control,0.00
control,2325.00
control,0.00
control,11708.00
control,0.00
control,76.00
control,23701.00
control,0.00
control,0.00
control,23564.00
control,6560.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,25397.00
control,21.00
control,0.00
control,0.00
control,0.00
control,4945.00
control,3736.00
control,960.00
control,9433.00
control,0.00
control,471.00
control,211.00
control,7079.00
control,0.00
control,66160.00
control,0.00
control,8488.00
control,23286.00
control,0.00
control,0.00
control,28244.00
control,0.00
control,0.00
control,0.00
control,0.00
control,85.00
control,24228.00
control,0.00
control,0.00
control,0.00
control,5814.00
control,16616.00
control,37715.00
control,3446.00
control,0.00
control,5795.00
control,0.00
control,1681.00
control,52924.00
control,0.00
control,15368.00
control,120.00
control,1853.00
control,38039.00
control,0.00
control,3341.00
control,0.00
control,11114.00
control,0.00
control,0.00
control,710.00
control,0.00
control,0.00
control,0.00
control,144.00
control,268.00
control,3691.00
control,47833.00
control,0.00
control,1550.00
control,73.00
control,0.00
control,0.00
control,787.00
control,0.00
control,0.00
control,105.00
control,29.00
control,0.00
control,23269.00
control,54.00
control,2099.00
control,0.00
control,0.00
control,0.00
control,44041.00
control,0.00
control,16.00
control,0.00
control,257.00
control,0.00
control,3043.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,47724.00
control,0.00
control,0.00
control,18190.00
control,4615.00
control,0.00
control,5.00
control,1150.00
control,18397.00
control,0.00
control,1863.00
control,607.00
control,3672.00
control,0.00
control,2653.00
control,3392.00
control,0.00
control,1910.00
control,35461.00
control,19.00
control,0.00
control,0.00
control,8621.00
control,1561.00
control,0.00
control,0.00
control,0.00
control,22.00
control,0.00
control,1310.00
control,521.00
control,0.00
control,0.00
control,0.00
control,771.00
control,70.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,10718.00
control,3409.00
control,203069.00
control,766.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3679.00
control,9774.00
control,5750.00
control,3620.00
control,32064.00
control,0.00
control,0.00
control,0.00
control,115.00
control,4082.00
control,217.00
control,2507.00
control,0.00
control,1250.00
control,10119.00
control,89.00
control,10738.00
control,3809.00
control,5734.00
control,1695.00
control,45.00
control,0.00
control,5966.00
control,4046.00
control,0.00
control,7466.00
control,0.00
control,1153.00
control,0.00
control,0.00
control,3317.00
control,66026.00
control,0.00
control,480.00
control,3421.00
control,295.00
control,4733.00
control,0.00
control,0.00
control,0.00
control,10764.00
control,129399.00
control,665.00
control,101631.00
control,0.00
control,0.00
control,2400.00
control,287.00
control,0.00
control,0.00
control,9509.00
control,0.00
control,0.00
control,0.00
control,0.00
control,5893.00
control,2843.00
control,0.00
control,0.00
control,0.00
control,17128.00
control,868.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,824.00
control,4546.00
control,1651.00
control,0.00
control,2202.00
control,822.00
control,0.00
control,68.00
control,10499.00
control,126772.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,6.00
control,1029.00
control,0.00
control,37.00
control,6639.00
control,4050.00
control,49927.00
control,0.00
control,4959.00
control,20693.00
control,2102.00
control,4752.00
control,0.00
control,0.00
control,0.00
control,12893.00
control,6595.00
control,0.00
control,0.00
control,6883.00
control,0.00
control,0.00
control,1800.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,100572.00
control,0.00
control,37.00
control,0.00
control,0.00
control,6194.00
control,0.00
control,41643.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1972.00
control,4.00
control,0.00
control,13360.00
control,48077.00
control,991.00
control,0.00
control,364.00
control,0.00
control,811.00
control,4905.00
control,1672.00
control,0.00
control,1690.00
control,5630.00
control,14481.00
control,29629.00
control,19578.00
control,0.00
control,827.00
control,318.00
control,9152.00
control,0.00
control,0.00
control,5185.00
control,0.00
control,94958.00
control,2639.00
control,0.00
control,82.00
control,0.00
control,0.00
control,23806.00
control,12563.00
control,0.00
control,1563.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,25754.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2240.00
control,4915.00
control,0.00
control,39910.00
control,253.00
control,9578.00
control,8294.00
control,0.00
control,0.00
control,0.00
control,1901.00
control,2990.00
control,0.00
control,0.00
control,26350.00
control,1781.00
control,28916.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,860.00
control,0.00
control,8730.00
control,3711.00
control,0.00
control,0.00
control,1535.00
control,11431.00
control,6587.00
control,447.00
control,2755.00
control,7198.00
control,0.00
control,0.00
control,251.00
control,589.00
control,0.00
control,0.00
control,0.00
control,1392.00
control,0.00
control,0.00
control,0.00
control,0.00
control,10042.00
control,0.00
control,0.00
control,3629.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,788.00
control,0.00
control,0.00
control,0.00
control,21080.00
control,2530.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,16507.00
control,486.00
control,0.00
control,0.00
control,0.00
control,848.00
control,0.00
control,30099.00
control,5391.00
control,5301.00
control,0.00
control,4022.00
control,0.00
control,0.00
control,0.00
control,11610.00
control,0.00
control,0.00
control,102144.00
control,0.00
control,0.00
control,2283.00
control,0.00
control,2999.00
control,0.00
control,0.00
control,0.00
control,1565.00
control,0.00
control,0.00
control,1044.00
control,0.00
control,0.00
control,0.00
control,0.00
control,451.00
control,2972.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,23.00
control,0.00
control,0.00
control,60257.00
control,0.00
control,3413.00
control,0.00
control,3643.00
control,8744.00
control,3592.00
control,0.00
control,582.00
control,49.00
control,2094.00
control,0.00
control,1762.00
control,41648.00
control,0.00
control,0.00
control,0.00
control,23308.00
control,3504.00
control,0.00
control,581.00
control,35.00
control,0.00
control,0.00
control,27313.00
control,122522.00
control,1661.00
control,0.00
control,0.00
control,0.00
control,0.00
control,5.00
control,0.00
control,0.00
control,0.00
control,0.00
control,26.00
control,7904.00
control,15528.00
control,0.00
control,23.00
control,0.00
control,0.00
control,1691.00
control,39.00
control,0.00
control,1393.00
control,3865.00
control,6581.00
control,0.00
control,97521.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,649.00
control,0.00
control,0.00
control,0.00
control,36073.00
control,23739.00
control,0.00
control,1025.00
control,0.00
control,0.00
control,0.00
control,47999.00
control,13993.00
control,437.00
control,2810.00
control,0.00
control,4077.00
control,32.00
control,16502.00
control,0.00
control,0.00
control,16757.00
control,0.00
control,0.00
control,0.00
control,8.00
control,34098.00
control,0.00
control,2850.00
control,0.00
control,786.00
control,0.00
control,0.00
control,0.00
control,3112.00
control,4071.00
control,1948.00
control,348.00
control,0.00
control,0.00
control,57559.00
control,0.00
control,584.00
control,0.00
control,0.00
control,32712.00
control,136065.00
control,0.00
control,7359.00
control,2572.00
control,0.00
control,0.00
control,7326.00
control,0.00
control,18926.00
control,0.00
control,0.00
control,0.00
control,26090.00
control,83189.00
control,3.00
control,1118.00
control,0.00
control,3622.00
control,4345.00
control,27846.00
control,444.00
control,1597.00
control,3372.00
control,1738.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,126963.00
control,0.00
control,0.00
control,6453.00
control,0.00
control,0.00
control,50319.00
control,95.00
control,8170.00
control,6033.00
control,7704.00
control,0.00
control,0.00
control,1691.00
control,174638.00
control,0.00
control,0.00
control,0.00
control,41852.00
control,15387.00
control,6333.00
control,0.00
control,0.00
control,2319.00
control,2628.00
control,7702.00
control,79179.00
control,0.00
control,0.00
control,0.00
control,443.00
control,0.00
control,7899.00
control,78.00
control,6849.00
control,170.00
control,0.00
control,0.00
control,1217.00
control,2404.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2503.00
control,0.00
control,3468.00
control,0.00
control,0.00
control,6183.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,16361.00
control,25406.00
control,4212.00
control,0.00
control,13683.00
control,0.00
control,18343.00
control,3108.00
control,7.00
control,0.00
control,53221.00
control,0.00
control,0.00
control,16891.00
control,0.00
control,1853.00
control,0.00
control,78.00
control,127814.00
control,0.00
control,13016.00
control,2390.00
control,120.00
control,4578.00
control,2711.00
control,1418.00
control,0.00
control,1431.00
control,0.00
control,14534.00
control,0.00
control,69976.00
control,1293.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4416.00
control,0.00
control,4526.00
control,49588.00
control,0.00
control,0.00
control,33927.00
control,1397.00
control,0.00
control,0.00
control,67.00
control,4252.00
control,0.00
control,744.00
control,0.00
control,0.00
control,654.00
control,46533.00
control,2648.00
control,2165.00
control,0.00
control,0.00
control,49228.00
control,34077.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,7203.00
control,0.00
control,6404.00
control,112.00
control,0.00
control,102786.00
control,341.00
control,18689.00
control,90073.00
control,33818.00
control,2973.00
control,0.00
control,3906.00
control,71790.00
control,30367.00
control,0.00
control,0.00
control,111878.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4205.00
control,11409.00
control,1073.00
control,56.00
control,0.00
control,11332.00
control,63.00
control,88.00
control,8768.00
control,5854.00
control,0.00
control,0.00
control,0.00
control,0.00
control,516.00
control,0.00
control,8552.00
control,19059.00
control,35399.00
control,5.00
control,1431.00
control,7540.00
control,0.00
control,130282.00
control,0.00
control,85.00
control,40795.00
control,0.00
control,0.00
control,30871.00
control,56.00
control,3769.00
control,0.00
control,47178.00
control,0.00
control,375.00
control,13147.00
control,0.00
control,0.00
control,6.00
control,7575.00
control,76.00
control,9.00
control,0.00
control,0.00
control,3656.00
control,10469.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2604.00
control,0.00
control,4579.00
control,0.00
control,0.00
control,4063.00
control,0.00
control,25287.00
control,0.00
control,0.00
control,44759.00
control,0.00
control,86906.00
control,3929.00
control,7190.00
control,826.00
control,0.00
control,0.00
control,63290.00
control,0.00
control,0.00
control,0.00
control,18561.00
control,0.00
control,0.00
control,65.00
control,0.00
control,3314.00
control,3451.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,13685.00
control,11787.00
control,0.00
control,1611.00
control,14710.00
control,2790.00
control,0.00
control,1943.00
control,0.00
control,0.00
control,7789.00
control,9476.00
control,1670.00
control,0.00
control,335.00
control,0.00
control,4237.00
control,5413.00
control,0.00
control,844.00
control,2098.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,21503.00
control,0.00
control,0.00
control,19359.00
control,1499.00
control,0.00
control,2462.00
control,3651.00
control,0.00
control,7.00
control,0.00
control,5101.00
control,964.00
control,3645.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,262.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,215.00
control,2554.00
control,0.00
control,50694.00
control,23596.00
control,20063.00
control,0.00
control,0.00
control,12167.00
control,0.00
control,0.00
control,1949.00
control,0.00
control,0.00
control,1550.00
control,30112.00
control,0.00
control,610.00
control,1653.00
control,14389.00
control,0.00
control,0.00
control,39545.00
control,0.00
control,10.00
control,106098.00
control,0.00
control,1536.00
control,4206.00
control,6124.00
control,1322.00
control,0.00
control,5934.00
control,0.00
control,26034.00
control,0.00
control,90393.00
control,48.00
control,0.00
control,2441.00
control,1680.00
control,0.00
control,7782.00
control,5685.00
control,18311.00
control,20.00
control,144714.00
control,0.00
control,0.00
control,263.00
control,0.00
control,0.00
control,4373.00
control,0.00
control,852.00
control,0.00
control,9889.00
control,0.00
control,18116.00
control,1998.00
control,0.00
control,1333.00
control,97.00
control,0.00
control,106100.00
control,785.00
control,3423.00
control,120083.00
control,1570.00
control,1943.00
control,0.00
control,6447.00
control,0.00
control,13245.00
control,0.00
control,0.00
control,420.00
control,200561.00
control,41236.00
control,2308.00
control,0.00
control,21131.00
control,140.00
control,14301.00
control,32.00
control,51375.00
control,28340.00
control,0.00
control,0.00
control,20297.00
control,19285.00
control,22.00
control,0.00
control,7818.00
control,1620.00
control,867.00
control,1810.00
control,53604.00
control,0.00
control,10860.00
control,0.00
control,0.00
control,32.00
control,9059.00
control,19051.00
control,15647.00
control,0.00
control,4262.00
control,4311.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4420.00
control,0.00
control,0.00
control,55.00
control,0.00
control,1197.00
control,4.00
control,0.00
control,5669.00
control,0.00
control,0.00
control,0.00
control,95.00
control,0.00
control,35.00
control,0.00
control,0.00
control,297.00
control,0.00
control,0.00
control,16392.00
control,33927.00
control,6434.00
control,10884.00
control,53098.00
control,0.00
control,32.00
control,0.00
control,4261.00
control,0.00
control,0.00
control,1568.00
control,0.00
control,537.00
control,441.00
control,4788.00
control,120.00
control,2465.00
control,0.00
control,293.00
control,0.00
control,0.00
control,12.00
control,2158.00
control,0.00
control,2729.00
control,0.00
control,0.00
control,46556.00
control,53.00
control,63853.00
control,84.00
control,0.00
control,6703.00
control,0.00
control,0.00
control,2987.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1620.00
control,4411.00
control,20389.00
control,0.00
control,1757.00
control,0.00
control,0.00
control,6032.00
control,188.00
control,517.00
control,31395.00
control,9229.00
control,0.00
control,0.00
control,3064.00
control,514.00
control,0.00
control,696.00
control,212.00
control,9229.00
control,0.00
control,69540.00
control,1843.00
control,19510.00
control,1424.00
control,0.00
control,2103.00
control,21794.00
control,5741.00
control,2861.00
control,19023.00
control,0.00
control,0.00
control,18.00
control,3758.00
control,3932.00
control,0.00
control,7229.00
control,263.00
control,0.00
control,4805.00
control,16047.00
control,1658.00
control,0.00
control,0.00
control,1384.00
control,2008.00
control,13895.00
control,2192.00
control,305752.00
control,59684.00
control,0.00
control,21265.00
control,255.00
control,1923.00
control,835.00
control,29822.00
control,0.00
control,0.00
control,0.00
control,10805.00
control,0.00
control,0.00
control,10823.00
control,0.00
control,0.00
control,5.00
control,1949.00
control,7570.00
control,0.00
control,15978.00
control,0.00
control,0.00
control,1308.00
control,610.00
control,0.00
control,25136.00
control,137.00
control,0.00
control,0.00
control,1566.00
control,8355.00
control,118.00
control,762.00
control,9419.00
control,259.00
control,2692.00
control,14.00
control,0.00
control,0.00
control,0.00
control,1322.00
control,0.00
control,0.00
control,240.00
control,0.00
control,0.00
control,0.00
control,18.00
control,1650.00
control,83230.00
control,44.00
control,4999.00
control,0.00
control,201.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2968.00
control,0.00
control,0.00
control,0.00
control,46.00
control,0.00
control,0.00
control,56504.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1657.00
control,14142.00
control,450.00
control,1721.00
control,80030.00
control,0.00
control,0.00
control,2405.00
control,0.00
control,0.00
control,180.00
control,0.00
control,0.00
control,1761.00
control,0.00
control,0.00
control,94.00
control,0.00
control,0.00
control,0.00
control,6419.00
control,0.00
control,9722.00
control,0.00
control,0.00
control,6439.00
control,0.00
control,3178.00
control,0.00
control,0.00
control,0.00
control,1647.00
control,0.00
control,2382.00
control,0.00
control,7245.00
control,0.00
control,20400.00
control,846.00
control,0.00
control,0.00
control,0.00
control,19975.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4413.00
control,0.00
control,0.00
control,0.00
control,0.00
control,1294.00
control,0.00
control,120.00
control,23971.00
control,7894.00
control,918.00
control,8948.00
control,0.00
control,724.00
control,6898.00
control,0.00
control,7955.00
control,13.00
control,526.00
control,39223.00
control,5525.00
control,0.00
control,6754.00
control,19009.00
control,34037.00
control,47672.00
control,3031.00
control,4800.00
control,0.00
control,68982.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,300.00
control,20533.00
control,5226.00
control,0.00
control,11.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3805.00
control,81850.00
control,0.00
control,837.00
control,0.00
control,3831.00
control,3244.00
control,909.00
control,0.00
control,998.00
control,0.00
control,558.00
control,0.00
control,0.00
control,0.00
control,0.00
control,20846.00
control,2475.00
control,0.00
control,23.00
control,58.00
control,882.00
control,0.00
control,5269.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,13.00
control,0.00
control,0.00
control,781.00
control,46258.00
control,0.00
control,120.00
control,1786.00
control,0.00
control,12846.00
control,2530.00
control,0.00
control,11793.00
control,18396.00
control,0.00
control,49670.00
control,0.00
control,2110.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,16251.00
control,3580.00
control,0.00
control,8782.00
control,10687.00
control,1255.00
control,0.00
control,846.00
control,53162.00
control,8472.00
control,0.00
control,0.00
control,30937.00
control,1534.00
control,0.00
control,21059.00
control,0.00
control,0.00
control,89.00
control,5464.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2864.00
control,0.00
control,2847.00
control,1317.00
control,13346.00
control,8.00
control,259.00
control,0.00
control,3617.00
control,0.00
control,0.00
control,7136.00
control,0.00
control,0.00
control,0.00
control,3609.00
control,0.00
control,0.00
control,0.00
control,1017.00
control,3178.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,27799.00
control,0.00
control,3399.00
control,0.00
control,0.00
control,4631.00
control,14068.00
control,13169.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,91791.00
control,11550.00
control,0.00
control,0.00
control,0.00
control,2343.00
control,0.00
control,0.00
control,5161.00
control,9294.00
control,2285.00
control,39731.00
control,7306.00
control,0.00
control,1935.00
control,0.00
control,5.00
control,14639.00
control,551.00
control,828.00
control,16720.00
control,10234.00
control,11575.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,255781.00
control,4195.00
control,19306.00
control,0.00
control,0.00
control,0.00
control,146.00
control,26183.00
control,27677.00
control,20933.00
control,3536.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,83.00
control,35950.00
control,753.00
control,0.00
control,13467.00
control,0.00
control,0.00
control,5607.00
control,0.00
control,8408.00
control,0.00
control,9694.00
control,2600.00
control,8266.00
control,359.00
control,0.00
control,0.00
control,0.00
control,32893.00
control,36.00
control,0.00
control,50802.00
control,0.00
control,20620.00
control,7191.00
control,0.00
control,0.00
control,0.00
control,0.00
control,31371.00
control,0.00
control,0.00
control,0.00
control,0.00
control,10.00
control,374.00
control,4745.00
control,0.00
control,36.00
control,6948.00
control,117.00
control,29577.00
control,0.00
control,30689.00
control,55288.00
control,0.00
control,0.00
control,0.00
control,0.00
control,2141.00
control,0.00
control,0.00
control,942.00
control,59.00
control,7081.00
control,22369.00
control,0.00
control,0.00
control,35580.00
control,0.00
control,89.00
control,0.00
control,10112.00
control,3360.00
control,1684.00
control,3006.00
control,0.00
control,0.00
control,6971.00
control,0.00
control,3898.00
control,0.00
control,0.00
control,3062.00
control,0.00
control,11558.00
control,0.00
control,29629.00
control,369.00
control,4478.00
control,0.00
control,12985.00
control,6783.00
control,4526.00
control,82.00
control,13469.00
control,1660.00
control,0.00
control,6.00
control,0.00
control,10747.00
control,27839.00
control,15926.00
control,0.00
control,0.00
control,0.00
control,0.00
control,358.00
control,0.00
control,0.00
control,21582.00
control,5.00
control,31.00
control,0.00
control,0.00
control,76257.00
control,6709.00
control,0.00
control,0.00
control,0.00
control,0.00
control,15852.00
control,0.00
control,0.00
control,0.00
control,10045.00
control,2750.00
control,382.00
control,0.00
control,10150.00
control,32934.00
control,4419.00
control,1933.00
control,31611.00
control,6494.00
control,4499.00
control,0.00
control,4983.00
control,0.00
control,79674.00
control,2776.00
control,10169.00
control,262.00
control,9988.00
control,11064.00
control,12205.00
control,0.00
control,8932.00
control,0.00
control,0.00
control,3208.00
control,0.00
control,0.00
control,1812.00
control,0.00
control,6931.00
control,0.00
control,0.00
control,3080.00
control,0.00
control,1299.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,4642.00
control,6839.00
control,7192.00
control,0.00
control,0.00
control,5863.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,193.00
control,1552.00
control,0.00
control,0.00
control,8038.00
control,3287.00
control,3954.00
control,2508.00
control,5544.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,71.00
control,25.00
control,97.00
control,0.00
control,1656.00
control,0.00
control,0.00
control,21424.00
control,0.00
control,0.00
control,0.00
control,27263.00
control,0.00
control,0.00
control,19884.00
control,2178.00
control,36526.00
control,31455.00
control,122509.00
control,1530.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,12057.00
control,0.00
control,0.00
control,21692.00
control,9.00
control,266.00
control,8674.00
control,12636.00
control,0.00
control,0.00
control,0.00
control,0.00
control,143.00
control,1126.00
control,0.00
control,8480.00
control,1258.00
control,0.00
control,53.00
control,40493.00
control,3988.00
control,9200.00
control,29.00
control,0.00
control,797.00
control,146.00
control,0.00
control,0.00
control,364.00
control,0.00
control,250400.00
control,0.00
control,0.00
control,290.00
control,485.00
control,7384.00
control,0.00
control,3701.00
control,0.00
control,5347.00
control,0.00
control,5611.00
control,109.00
control,12782.00
control,7.00
control,15486.00
control,3339.00
control,41060.00
control,11608.00
control,91139.00
control,3.00
control,2880.00
control,0.00
control,4879.00
control,0.00
control,4215.00
control,11833.00
control,0.00
control,5197.00
control,0.00
control,1656.00
control,1341.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,11636.00
control,1050.00
control,24238.00
control,291.00
control,4343.00
control,49406.00
control,0.00
control,1874.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,5026.00
control,1069.00
control,0.00
control,12427.00
control,0.00
control,0.00
control,0.00
control,10168.00
control,0.00
control,4.00
control,54907.00
control,11417.00
control,9944.00
control,23.00
control,0.00
control,0.00
control,35.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,10153.00
control,0.00
control,62.00
control,23.00
control,1128.00
control,7789.00
control,0.00
control,14982.00
control,14774.00
control,33288.00
control,0.00
control,95625.00
control,2857.00
control,3237.00
control,0.00
control,994.00
control,0.00
control,0.00
control,0.00
control,71.00
control,2975.00
control,0.00
control,72.00
control,35022.00
control,0.00
control,0.00
control,5127.00
control,92678.00
control,4692.00
control,232440.00
control,3608.00
control,0.00
control,17781.00
control,0.00
control,39736.00
control,0.00
control,2584.00
control,65.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,8.00
control,26412.00
control,60.00
control,0.00
control,360.00
control,4.00
control,0.00
control,0.00
control,3052.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3.00
control,4740.00
control,661.00
control,1117.00
control,0.00
control,130644.00
control,42.00
control,0.00
control,0.00
control,1223.00
control,29790.00
control,0.00
control,292.00
control,0.00
control,0.00
control,757.00
control,11554.00
control,22037.00
control,0.00
control,16831.00
control,1638.00
control,0.00
control,0.00
control,0.00
control,0.00
control,600.00
control,1552.00
control,0.00
control,16490.00
control,0.00
control,5627.00
control,6.00
control,0.00
control,0.00
control,0.00
control,0.00
control,0.00
control,3091.00
control,85.00
control,1671.00
control,1762.00
control,1635.00
control,219808.00
control,4815.00
control,329.00
control,0.00
control,2710.00
control,890.00
control,195.00
control,0.00
control,7143.00
control,33718.00
control,0.00
control,0.00
control,0.00
control,2310.00
control,0.00
control,18481.00
control,57053.00
control,0.00
control,0.00
control,0.00
control,8148.00
control,0.00
control,655.00
control,10528.00
control,824.00
control,0.00
control,0.00
control,2573.00
control,0.00
control,47947.00
control,0.00
control,9094.00
control,0.00
control,0.00
control,96886.00
control,0.00
control,0.00
control,2434.00
control,3861.00
control,2463.00
control,902.00
control,6816.00
control,0.00
control,542.00
control,1405.00
control,0.00
control,28085.00
control,0.00
control,0.00
control,1150.00
control,7658.00
control,7.00
control,47.00
control,2622.00
control,4918.00
control,0.00
control,4747.00
control,1459.00
control,3765.00
control,0.00
control,0.00
control,831.00
control,6841.00
control,23635.00
control,0.00
control,0.00
control,0.00
control,11.00
control,0.00
control,0.00
control,6339.00
control,6491.00
control,89.00
control,16.00
control,8670.00
control,149.00
control,10048.00
control,0.00
control,0.00
control,0.00
control,24851.00
control,0.00
control,0.00
control,0.00
control,4801.00
control,0.00
